Location,Year,Characteristic,School Type,Enrolments,Total Attendance Sessions,Total Sessions - Absence,Authorised Absence Sessions,Unauthorised Absence Sessions,Overall Absence Rate (%),Authorised Absence Rate (%),Unauthorised Absence Rate (%),Enrolments - Persistent Absence (10 or more sessions),Persistent Absence Rate (%),Enrolments - Severe Absence (50 or more sessions),Severe Absence Rate
Bradford,202122,FSM unclassified,Special,3,134,26,26,0,19.40299,19.40299,0,1,33.33333,1,33.33333333
Bradford,202122,FSM unclassified,State-funded primary,399,12933,3336,1150,2186,25.79448,8.89198,16.9025,206,51.62907,104,26.06516291
Bradford,202122,FSM unclassified,State-funded secondary,300,8660,3270,778,2492,37.75982,8.98383,28.77598,231,77,142,47.33333333
Bradford,202122,Ethnicity Minor Any other Mixed background,Total,1906,655986,56582,32292,24290,8.62549,4.92267,3.70282,526,27.59706,53,2.78069255
Bradford,201718,FSM unclassified in last 6 years,Special,13,1335,176,119,57,13.18352,8.91386,4.26966,5,38.46154,2,15.38461538
Bradford,201718,FSM unclassified in last 6 years,State-funded secondary,493,52745,10420,2767,7653,19.75543,5.24599,14.50943,276,55.98377,89,18.05273834
Bradford,201718,FSM unclassified in last 6 years,State-funded primary,531,59293,6978,2482,4496,11.76867,4.18599,7.58268,195,36.72316,49,9.22787194
Bradford,201718,FSM unclassified in last 6 years,Total,1037,113373,17574,5368,12206,15.50105,4.73481,10.76623,476,45.90164,140,13.50048216
Bradford,201819,FSM unclassified in last 6 years,Special,8,462,170,120,50,36.79654,25.97403,10.82251,8,100,5,62.5
Bradford,201819,FSM unclassified in last 6 years,Total,1052,117327,17515,6339,11176,14.92836,5.40285,9.52551,476,45.24715,156,14.82889734
Bradford,201819,FSM unclassified in last 6 years,State-funded primary,544,64859,7718,3052,4666,11.89966,4.70559,7.19407,208,38.23529,65,11.94852941
Bradford,201819,FSM unclassified in last 6 years,State-funded secondary,500,52006,9627,3167,6460,18.51133,6.08968,12.42164,260,52,86,17.2
Bradford,202021,FSM unclassified in last 6 years,Special,15,1476,693,393,300,46.95122,26.62602,20.3252,11,73.33333,9,60
Bradford,202021,FSM unclassified in last 6 years,State-funded secondary,425,42999,10621,2933,7688,24.70057,6.82109,17.87949,264,62.11765,135,31.76470588
Bradford,202021,FSM unclassified in last 6 years,Total,997,103513,21353,6131,15222,20.62833,5.92293,14.7054,534,53.56068,262,26.27883651
Bradford,202021,FSM unclassified in last 6 years,State-funded primary,557,59038,10039,2805,7234,17.0043,4.75118,12.25313,259,46.4991,118,21.18491921
Bradford,202122,FSM unclassified in last 6 years,Special,12,1280,798,516,282,62.34375,40.3125,22.03125,10,83.33333,8,66.66666667
Bradford,202122,FSM unclassified in last 6 years,State-funded primary,646,78426,11339,5307,6032,14.45822,6.76689,7.69133,277,42.87926,83,12.84829721
Bradford,202122,FSM unclassified in last 6 years,State-funded secondary,454,43905,11158,3296,7862,25.41396,7.50712,17.90684,275,60.57269,137,30.17621145
Bradford,202122,Ethnicity Minor White and Asian,Total,2192,765167,87185,49072,38113,11.39424,6.41324,4.981,795,36.26825,90,4.105839416
Bradford,201718,Gender female,State-funded primary,23529,8216919,359754,231287,128467,4.37821,2.81477,1.56344,2490,10.58269,83,0.352756173
Bradford,201718,Gender female,Special,264,92807,10737,9687,1050,11.56917,10.43779,1.13138,105,39.77273,4,1.515151515
Bradford,201718,Gender female,State-funded secondary,16937,5766830,349106,191124,157982,6.05369,3.3142,2.73949,2785,16.44329,249,1.4701541
Bradford,201718,Gender female,Total,40730,14076556,719597,432098,287499,5.11202,3.06963,2.0424,5380,13.20894,336,0.824944758
Bradford,201819,Gender female,State-funded primary,23405,8474856,365282,237059,128223,4.31019,2.7972,1.51298,2535,10.83102,93,0.397350993
Bradford,201819,Gender female,State-funded secondary,17403,6045965,391556,213352,178204,6.47632,3.52883,2.94749,3006,17.27288,297,1.70660231
Bradford,201819,Gender female,Special,280,101018,13131,12022,1109,12.99867,11.90085,1.09782,107,38.21429,14,5
Bradford,201819,Gender female,Total,41088,14621839,769969,462433,307536,5.26588,3.16262,2.10326,5648,13.74611,404,0.983255452
Bradford,202021,Gender female,Special,314,110889,23234,20521,2713,20.95248,18.50589,2.44659,200,63.69427,29,9.23566879
Bradford,202021,Gender female,Total,42188,14718528,910703,547218,363485,6.18746,3.71789,2.46957,7526,17.8392,757,1.794349104
Bradford,202021,Gender female,State-funded primary,23282,8348618,389369,240933,148436,4.66387,2.8859,1.77797,2912,12.50752,214,0.91916502
Bradford,202021,Gender female,State-funded secondary,18592,6259021,498100,285764,212336,7.95811,4.56563,3.39248,4414,23.74139,514,2.764629948
Bradford,202122,Gender female,Special,315,110998,19034,15910,3124,17.14806,14.33359,2.81447,161,51.11111,30,9.523809524
Bradford,202122,Gender female,State-funded primary,23412,8405380,572448,374547,197901,6.8105,4.45604,2.35446,5044,21.54451,189,0.807278319
Bradford,202122,Gender female,State-funded secondary,18799,6335443,738689,400433,338256,11.65963,6.32052,5.33911,6856,36.47003,888,4.723655514
Bradford,202122,Ethnicity Minor Bangladeshi,Total,2594,909106,66754,42262,24492,7.34282,4.64874,2.69408,656,25.28913,20,0.771010023
Bradford,201718,Gender male,Special,662,229827,22387,18512,3875,9.74081,8.05475,1.68605,192,29.00302,21,3.172205438
Bradford,201718,Gender male,Total,42663,14671397,780310,473143,307167,5.31858,3.22493,2.09365,5932,13.90432,426,0.998523311
Bradford,201718,Gender male,State-funded secondary,17247,5805216,369686,203424,166262,6.36817,3.50416,2.86401,2984,17.30156,315,1.826404592
Bradford,201718,Gender male,State-funded primary,24754,8636354,388237,251207,137030,4.49538,2.90872,1.58666,2756,11.13355,90,0.363577604
Bradford,201819,Gender male,Special,688,247429,23932,21084,2848,9.67227,8.52123,1.15104,213,30.9593,17,2.470930233
Bradford,201819,Gender male,State-funded secondary,17699,6078754,422572,228723,193849,6.95162,3.76266,3.18896,3267,18.45867,376,2.124413809
Bradford,201819,Gender male,Total,42660,15113738,840744,506815,333929,5.56278,3.35334,2.20944,6171,14.46554,504,1.181434599
Bradford,201819,Gender male,State-funded primary,24273,8787555,394240,257008,137232,4.48634,2.92468,1.56166,2691,11.08639,111,0.457298233
Bradford,202021,Gender male,State-funded secondary,19050,6360685,521799,299939,221860,8.2035,4.71551,3.48799,4654,24.43045,536,2.813648294
Bradford,202021,Gender male,State-funded primary,23740,8495259,415163,264501,150662,4.887,3.11351,1.77348,3126,13.16765,239,1.00673968
Bradford,202021,Gender male,Total,43659,15153089,995288,612658,382630,6.56822,4.04312,2.5251,8329,19.0774,850,1.946906709
Bradford,202021,Gender male,Special,869,297145,58326,48218,10108,19.6288,16.22709,3.40171,549,63.17606,75,8.630609896
Bradford,202122,Gender male,Special,867,307453,47932,36652,11280,15.59003,11.92117,3.66885,399,46.02076,62,7.151095732
Bradford,202122,Gender male,State-funded primary,23820,8539434,604159,398566,205593,7.07493,4.66736,2.40757,5417,22.74139,238,0.999160369
Bradford,202122,Gender male,State-funded secondary,19062,6390762,736698,387060,349638,11.52755,6.05655,5.47099,6815,35.75176,930,4.878816494
Bradford,202122,SEN primary need Social emotional and mental health,Total,2889,985651,177263,92958,84305,17.98436,9.43113,8.55323,1409,48.7712,350,12.11491866
Bradford,201718,NC Year 1 and below,Special,62,21799,2349,2126,223,10.77572,9.75274,1.02298,29,46.77419,0,0
Bradford,201718,NC Year 1 and below,State-funded primary,7899,2761781,137178,91262,45916,4.96701,3.30446,1.66255,1038,13.1409,17,0.215217116
Bradford,201718,NC Year 1 and below,State-funded secondary,241,85984,4712,2571,2141,5.48009,2.99009,2.49,36,14.93776,0,0
Bradford,201718,NC Year 1 and below,Total,8202,2869564,144239,95959,48280,5.02651,3.34403,1.68249,1103,13.44794,17,0.20726652
Bradford,201819,NC Year 1 and below,State-funded secondary,232,82587,4648,2616,2032,5.628,3.16757,2.46044,30,12.93103,1,0.431034483
Bradford,201819,NC Year 1 and below,Total,8068,2917579,152436,103495,48941,5.22474,3.54729,1.67745,1154,14.30342,21,0.260287556
Bradford,201819,NC Year 1 and below,Special,65,23252,3090,2902,188,13.28918,12.48065,0.80853,28,43.07692,2,3.076923077
Bradford,201819,NC Year 1 and below,State-funded primary,7771,2811740,144698,97977,46721,5.14621,3.48457,1.66164,1096,14.10372,18,0.231630421
Bradford,202021,NC Year 1 and below,State-funded secondary,244,86175,5647,2801,2846,6.55294,3.25036,3.30258,44,18.03279,0,0
Bradford,202021,NC Year 1 and below,State-funded primary,7646,2731187,130265,82629,47636,4.76954,3.02539,1.74415,1019,13.32723,52,0.680094167
Bradford,202021,NC Year 1 and below,Total,7971,2846572,141128,90283,50845,4.95782,3.17164,1.78618,1116,14.00075,58,0.727637687
Bradford,202021,NC Year 1 and below,Special,81,29210,5216,4853,363,17.8569,16.61417,1.24273,53,65.4321,6,7.407407407
Bradford,202122,NC Year 1 and below,Special,73,27002,4162,3985,177,15.41367,14.75817,0.65551,43,58.90411,3,4.109589041
Bradford,202122,NC Year 1 and below,State-funded primary,7732,2776494,215997,146874,69123,7.77949,5.28991,2.48958,2059,26.62959,49,0.633729953
Bradford,202122,NC Year 1 and below,State-funded secondary,238,83478,7384,4398,2986,8.84544,5.26845,3.57699,73,30.67227,2,0.840336134
Bradford,202122,SEN provision Statement or EHCP,Total,3120,1089442,157940,109182,48758,14.49733,10.02183,4.4755,1296,41.53846,236,7.564102564
Bradford,201718,NC Year 10,Total,6418,2241223,159277,81768,77509,7.1067,3.64837,3.45834,1302,20.28669,127,1.978809598
Bradford,201718,NC Year 10,Special,98,34896,4108,3308,800,11.77212,9.4796,2.29253,35,35.71429,4,4.081632653
Bradford,201718,NC Year 10,State-funded secondary,6320,2206327,155169,78460,76709,7.03291,3.55614,3.47677,1267,20.04747,123,1.946202532
Bradford,201819,NC Year 10,State-funded secondary,6491,2320848,180793,95189,85604,7.78995,4.10147,3.68848,1367,21.05993,158,2.434139578
Bradford,201819,NC Year 10,Total,6589,2357367,183903,97761,86142,7.8012,4.14704,3.65416,1390,21.09577,159,2.413112764
Bradford,201819,NC Year 10,Special,98,36519,3110,2572,538,8.51611,7.04291,1.47321,23,23.46939,1,1.020408163
Bradford,202021,NC Year 10,Special,141,49228,11215,8755,2460,22.78175,17.78459,4.99716,103,73.04965,16,11.34751773
Bradford,202021,NC Year 10,Total,7225,2507400,235638,132002,103636,9.3977,5.2645,4.13321,2028,28.0692,244,3.37716263
Bradford,202021,NC Year 10,State-funded secondary,7084,2458172,224423,123247,101176,9.12967,5.01377,4.1159,1925,27.17391,228,3.21852061
Bradford,202122,NC Year 10,Special,131,46757,9720,6121,3599,20.78833,13.09109,7.69724,64,48.85496,20,15.26717557
Bradford,202122,NC Year 10,State-funded secondary,6969,2428827,326191,167223,158968,13.42998,6.88493,6.54505,2844,40.8093,423,6.069737409
Bradford,202122,SEN primary need Speech language and communications needs,Total,3355,1214102,106056,66454,39602,8.73535,5.47351,3.26183,960,28.61401,51,1.520119225
Bradford,201718,NC Year 11,Special,87,24844,3284,2688,596,13.21848,10.81951,2.39897,29,33.33333,6,6.896551724
Bradford,201718,NC Year 11,State-funded secondary,5973,1740162,111316,59809,51507,6.39688,3.43698,2.9599,999,16.72526,118,1.975556672
Bradford,201718,NC Year 11,Total,6060,1765006,114600,62497,52103,6.4929,3.54089,2.952,1028,16.9637,124,2.04620462
Bradford,201819,NC Year 11,State-funded secondary,6116,1840600,135126,67969,67157,7.34141,3.69276,3.64865,1140,18.63963,161,2.632439503
Bradford,201819,NC Year 11,Total,6216,1871245,138349,70631,67718,7.39342,3.77455,3.61887,1171,18.83848,165,2.654440154
Bradford,201819,NC Year 11,Special,100,30645,3223,2662,561,10.51721,8.68657,1.83064,31,31,4,4
Bradford,202021,NC Year 11,State-funded secondary,6752,1973210,182255,109630,72625,9.23647,5.55592,3.68055,1782,26.39218,245,3.628554502
Bradford,202021,NC Year 11,Special,126,37693,9545,7477,2068,25.323,19.83657,5.48643,87,69.04762,18,14.28571429
Bradford,202021,NC Year 11,Total,6878,2010903,191800,117107,74693,9.538,5.8236,3.7144,1869,27.1736,263,3.823785984
Bradford,202122,NC Year 11,Special,131,37747,7549,4681,2868,19.99894,12.40099,7.59795,77,58.77863,19,14.50381679
Bradford,202122,NC Year 11,State-funded secondary,6842,2018267,272537,142859,129678,13.50352,7.0783,6.42522,2640,38.58521,447,6.533177433
Bradford,202122,SEN primary need Moderate learning difficulty,Total,3658,1299333,148024,76913,71111,11.39231,5.91942,5.47288,1396,38.16293,128,3.49917988
Bradford,201718,NC Year 12 and above,Total,1,278,5,5,0,1.79856,1.79856,0,0,0,0,0
Bradford,201718,NC Year 12 and above,State-funded secondary,1,278,5,5,0,1.79856,1.79856,0,0,0,0,0
Bradford,202021,NC Year 12 and above,State-funded secondary,3,757,105,24,81,13.87054,3.17041,10.70013,1,33.33333,0,0
Bradford,202021,NC Year 12 and above,Total,3,757,105,24,81,13.87054,3.17041,10.70013,1,33.33333,0,0
Bradford,202122,NC Year 12 and above,State-funded secondary,2,613,72,42,30,11.74551,6.85155,4.89396,1,50,0,0
Bradford,202122,Ethnicity Minor Any other white background,Total,3990,1361839,158732,78867,79865,11.65571,5.79121,5.8645,1590,39.84962,183,4.586466165
Bradford,201718,NC Year 2,Special,70,24079,2785,2497,288,11.56609,10.37003,1.19606,29,41.42857,3,4.285714286
Bradford,201718,NC Year 2,State-funded primary,8061,2833457,126026,81950,44076,4.44778,2.89223,1.55556,849,10.53219,17,0.210891949
Bradford,201718,NC Year 2,State-funded secondary,240,86569,4221,2491,1730,4.87588,2.87747,1.99841,26,10.83333,0,0
Bradford,201718,NC Year 2,Total,8371,2944105,133032,86938,46094,4.51859,2.95295,1.56564,904,10.79919,20,0.238920081
Bradford,201819,NC Year 2,State-funded primary,7815,2836287,123968,80666,43302,4.37078,2.84407,1.52671,804,10.28791,19,0.243122201
Bradford,201819,NC Year 2,State-funded secondary,240,86398,4574,2358,2216,5.2941,2.72923,2.56487,29,12.08333,0,0
Bradford,201819,NC Year 2,Special,64,23443,2928,2722,206,12.48987,11.61114,0.87873,27,42.1875,2,3.125
Bradford,201819,NC Year 2,Total,8119,2946128,131470,85746,45724,4.46247,2.91046,1.552,860,10.59244,21,0.258652543
Bradford,202021,NC Year 2,State-funded secondary,230,80957,6055,2947,3108,7.47928,3.6402,3.83908,55,23.91304,3,1.304347826
Bradford,202021,NC Year 2,State-funded primary,7689,2752911,129397,78110,51287,4.70037,2.83736,1.86301,946,12.30329,68,0.884380284
Bradford,202021,NC Year 2,Total,8004,2864744,139277,84642,54635,4.86176,2.95461,1.90715,1037,12.95602,75,0.937031484
Bradford,202021,NC Year 2,Special,85,30876,3825,3585,240,12.38826,11.61096,0.7773,36,42.35294,4,4.705882353
Bradford,202122,NC Year 2,Special,91,33481,5720,5365,355,17.08432,16.02401,1.0603,49,53.84615,6,6.593406593
Bradford,202122,NC Year 2,State-funded primary,7689,2769242,191869,127739,64130,6.92857,4.61278,2.3158,1665,21.65431,47,0.611262843
Bradford,202122,NC Year 2,State-funded secondary,239,85373,7471,3730,3741,8.75101,4.36906,4.38195,68,28.45188,4,1.673640167
Bradford,202122,Ethnicity Major Mixed Total,Total,5619,1957176,194848,112549,82299,9.95557,5.75058,4.20499,1770,31.50027,185,3.292400783
Bradford,201718,NC Year 3,State-funded secondary,240,86371,3827,2395,1432,4.43089,2.77292,1.65796,19,7.91667,0,0
Bradford,201718,NC Year 3,Total,8530,2976060,131197,83910,47287,4.40841,2.8195,1.58891,890,10.43376,14,0.164126612
Bradford,201718,NC Year 3,State-funded primary,8204,2859474,124394,79095,45299,4.35024,2.76607,1.58417,850,10.3608,12,0.146270112
Bradford,201718,NC Year 3,Special,86,30215,2976,2420,556,9.84941,8.00927,1.84015,21,24.4186,2,2.325581395
Bradford,201819,NC Year 3,Total,8301,3011036,131417,84278,47139,4.36451,2.79897,1.56554,870,10.48066,32,0.385495723
Bradford,201819,NC Year 3,Special,83,30195,3566,3208,358,11.8099,10.62428,1.18563,33,39.75904,0,0
Bradford,201819,NC Year 3,State-funded primary,7980,2894576,123796,78942,44854,4.27683,2.72724,1.54959,821,10.28822,31,0.388471178
Bradford,201819,NC Year 3,State-funded secondary,238,86265,4055,2128,1927,4.70063,2.46682,2.23381,16,6.72269,1,0.420168067
Bradford,202021,NC Year 3,Total,8077,2901370,140952,88047,52905,4.85812,3.03467,1.82345,1032,12.77702,67,0.829515909
Bradford,202021,NC Year 3,Special,75,27717,4368,4235,133,15.75928,15.27943,0.47985,41,54.66667,2,2.666666667
Bradford,202021,NC Year 3,State-funded secondary,223,78985,5205,2801,2404,6.58986,3.54624,3.04362,48,21.52466,2,0.896860987
Bradford,202021,NC Year 3,State-funded primary,7779,2794668,131379,81011,50368,4.70106,2.89877,1.80229,943,12.12238,63,0.809872734
Bradford,202122,NC Year 3,Special,102,36829,5112,4670,442,13.88037,12.68022,1.20014,41,40.19608,5,4.901960784
Bradford,202122,NC Year 3,State-funded primary,7788,2806039,189948,122309,67639,6.76926,4.35878,2.41048,1661,21.32768,49,0.629173087
Bradford,202122,NC Year 3,State-funded secondary,225,80457,6477,3361,3116,8.05026,4.17739,3.87288,60,26.66667,2,0.888888889
Bradford,202122,NC Year 11,Total,6973,2056014,280086,147540,132546,13.62277,7.17602,6.44675,2717,38.96458,466,6.682919834
Bradford,201718,NC Year 4,Total,8368,2935359,129137,81991,47146,4.39936,2.79322,1.60614,885,10.576,27,0.322657744
Bradford,201718,NC Year 4,State-funded secondary,236,84800,4568,2458,2110,5.38679,2.89858,2.48821,35,14.83051,1,0.423728814
Bradford,201718,NC Year 4,Special,85,30127,3232,2936,296,10.72792,9.74541,0.98251,29,34.11765,2,2.352941176
Bradford,201718,NC Year 4,State-funded primary,8047,2820432,121337,76597,44740,4.30207,2.71579,1.58628,821,10.20256,24,0.298247794
Bradford,201819,NC Year 4,State-funded secondary,243,87050,4290,2291,1999,4.9282,2.63182,2.29638,26,10.69959,0,0
Bradford,201819,NC Year 4,Total,8380,3051336,132082,85638,46444,4.32866,2.80657,1.52209,862,10.2864,24,0.286396181
Bradford,201819,NC Year 4,Special,93,34321,3527,3108,419,10.27651,9.05568,1.22083,29,31.1828,3,3.225806452
Bradford,201819,NC Year 4,State-funded primary,8044,2929965,124265,80239,44026,4.24118,2.73857,1.50261,807,10.03232,21,0.261064147
Bradford,202021,NC Year 4,Special,78,28563,3859,3685,174,13.51049,12.90131,0.60918,36,46.15385,4,5.128205128
Bradford,202021,NC Year 4,State-funded primary,7762,2806467,128233,82381,45852,4.5692,2.9354,1.6338,883,11.37593,43,0.553980933
Bradford,202021,NC Year 4,State-funded secondary,242,84512,6478,3048,3430,7.66518,3.60659,4.0586,46,19.00826,2,0.826446281
Bradford,202021,NC Year 4,Total,8082,2919542,138570,89114,49456,4.74629,3.05233,1.69396,965,11.94011,49,0.606285573
Bradford,202122,NC Year 4,Special,75,27847,4349,3781,568,15.61748,13.57776,2.03972,42,56,5,6.666666667
Bradford,202122,NC Year 4,State-funded primary,7840,2830881,188938,120360,68578,6.67418,4.25168,2.4225,1618,20.63776,50,0.637755102
Bradford,202122,NC Year 4,State-funded secondary,217,78692,5803,3443,2360,7.37432,4.37529,2.99903,56,25.80645,1,0.460829493
Bradford,202122,NC Year 10,Total,7100,2475584,335911,173344,162567,13.56896,7.00215,6.56681,2908,40.95775,443,6.23943662
Bradford,201718,NC Year 5,Special,74,26583,2283,2166,117,8.5882,8.14806,0.44013,20,27.02703,0,0
Bradford,201718,NC Year 5,State-funded primary,8025,2824692,122475,79840,42635,4.33587,2.8265,1.50937,793,9.88162,21,0.261682243
Bradford,201718,NC Year 5,State-funded secondary,187,66558,3252,1926,1326,4.88596,2.89372,1.99225,19,10.16043,0,0
Bradford,201718,NC Year 5,Total,8286,2917833,128010,83932,44078,4.38716,2.87652,1.51064,832,10.04103,21,0.253439537
Bradford,201819,NC Year 5,State-funded primary,7917,2891729,123715,78926,44789,4.27824,2.72937,1.54887,838,10.58482,25,0.315776178
Bradford,201819,NC Year 5,State-funded secondary,242,86838,4603,2035,2568,5.30067,2.34344,2.95723,32,13.22314,0,0
Bradford,201819,NC Year 5,Special,81,30173,3658,3426,232,12.12342,11.35452,0.7689,34,41.97531,4,4.938271605
Bradford,201819,NC Year 5,Total,8240,3008740,131976,84387,47589,4.38642,2.80473,1.58169,904,10.97087,29,0.351941748
Bradford,202021,NC Year 5,State-funded secondary,241,85783,6375,3065,3310,7.43154,3.57297,3.85857,53,21.9917,2,0.829875519
Bradford,202021,NC Year 5,State-funded primary,7894,2850099,139141,88398,50743,4.88197,3.10158,1.78039,1024,12.97188,69,0.874081581
Bradford,202021,NC Year 5,Total,8223,2968313,150025,95901,54124,5.05422,3.23083,1.82339,1126,13.6933,71,0.863431838
Bradford,202021,NC Year 5,Special,88,32431,4509,4438,71,13.90336,13.68444,0.21893,49,55.68182,0,0
Bradford,202122,NC Year 5,Special,86,31561,4531,4021,510,14.35633,12.74041,1.61592,40,46.51163,5,5.813953488
Bradford,202122,NC Year 5,State-funded primary,7865,2852708,193057,127013,66044,6.7675,4.45237,2.31513,1642,20.8773,61,0.775588048
Bradford,202122,NC Year 5,State-funded secondary,240,86601,7392,3843,3549,8.5357,4.43759,4.09811,62,25.83333,4,1.666666667
Bradford,202122,NC Year 9,Total,7530,2600429,313467,168919,144548,12.05443,6.49581,5.55862,2856,37.92829,358,4.754316069
Bradford,201718,NC Year 6,State-funded secondary,174,63469,3145,1958,1187,4.95517,3.08497,1.8702,23,13.21839,1,0.574712644
Bradford,201718,NC Year 6,Total,7942,2827619,119333,76619,42714,4.22026,2.70966,1.5106,780,9.8212,15,0.188869302
Bradford,201718,NC Year 6,State-funded primary,7709,2743015,114590,73191,41399,4.17752,2.66827,1.50925,741,9.61214,14,0.181605915
Bradford,201718,NC Year 6,Special,59,21135,1598,1470,128,7.56092,6.95529,0.60563,16,27.11864,0,0
Bradford,201819,NC Year 6,Total,8100,2983393,123167,81163,42004,4.12842,2.72049,1.40793,763,9.41975,17,0.209876543
Bradford,201819,NC Year 6,Special,75,27364,2757,2490,267,10.07528,9.09955,0.97573,27,36,2,2.666666667
Bradford,201819,NC Year 6,State-funded primary,7843,2888596,117015,76741,40274,4.05093,2.65669,1.39424,712,9.07816,15,0.191253347
Bradford,201819,NC Year 6,State-funded secondary,182,67433,3395,1932,1463,5.03463,2.86507,2.16956,24,13.18681,0,0
Bradford,202021,NC Year 6,Total,8307,3023659,155251,100188,55063,5.13454,3.31347,1.82107,1155,13.90394,58,0.698206332
Bradford,202021,NC Year 6,Special,116,37649,5821,5296,525,15.46123,14.06677,1.39446,61,52.58621,7,6.034482759
Bradford,202021,NC Year 6,State-funded secondary,237,84405,5278,2663,2615,6.25318,3.15503,3.09816,40,16.87764,2,0.843881857
Bradford,202021,NC Year 6,State-funded primary,7954,2901605,144152,92229,51923,4.96801,3.17855,1.78946,1054,13.25119,49,0.616042243
Bradford,202122,NC Year 6,Special,88,32814,4144,3894,250,12.62876,11.86689,0.76187,36,40.90909,2,2.272727273
Bradford,202122,NC Year 6,State-funded primary,7919,2896517,193462,127668,65794,6.67913,4.40764,2.27149,1610,20.33085,67,0.846066423
Bradford,202122,NC Year 6,State-funded secondary,240,86172,7007,3392,3615,8.13141,3.93631,4.1951,61,25.41667,2,0.833333333
Bradford,202122,NC Year 8,Total,7592,2627760,282131,157382,124749,10.73656,5.98921,4.74735,2597,34.20706,261,3.437829294
Bradford,201718,NC Year 7,Total,7059,2506193,129220,77287,51933,5.15603,3.08384,2.07219,921,13.04717,54,0.764980875
Bradford,201718,NC Year 7,Special,100,36082,3010,2545,465,8.34211,7.05338,1.28873,30,30,1,1
Bradford,201718,NC Year 7,State-funded secondary,6959,2470111,126210,74742,51468,5.10949,3.02586,2.08363,891,12.80356,53,0.761603679
Bradford,201819,NC Year 7,Total,7080,2558953,142232,84782,57450,5.55821,3.31315,2.24506,992,14.0113,64,0.903954802
Bradford,201819,NC Year 7,Special,92,34172,3701,3359,342,10.8305,9.82969,1.00082,25,27.17391,4,4.347826087
Bradford,201819,NC Year 7,State-funded secondary,6988,2524781,138531,81423,57108,5.48685,3.22495,2.2619,967,13.83801,60,0.858614768
Bradford,202021,NC Year 7,Special,130,44821,10323,8754,1569,23.03161,19.53102,3.50059,91,70,13,10
Bradford,202021,NC Year 7,State-funded secondary,7514,2623717,170169,100043,70126,6.4858,3.81303,2.67277,1437,19.1243,117,1.557093426
Bradford,202021,NC Year 7,Total,7644,2668538,180492,108797,71695,6.7637,4.07703,2.68668,1528,19.98953,130,1.700680272
Bradford,202122,NC Year 7,Special,133,47392,5728,4613,1115,12.08643,9.73371,2.35272,43,32.33083,8,6.015037594
Bradford,202122,NC Year 7,State-funded secondary,7496,2637763,252110,139528,112582,9.55772,5.28963,4.26809,2246,29.96265,190,2.534685165
Bradford,202122,NC Year 7,Total,7629,2685155,257838,144141,113697,9.60235,5.36807,4.23428,2289,30.00393,198,2.595359811
Bradford,201718,NC Year 8,State-funded secondary,6762,2371425,144040,81004,63036,6.07399,3.41584,2.65815,1060,15.67584,82,1.212658977
Bradford,201718,NC Year 8,Total,6866,2409185,148115,84362,63753,6.14793,3.50168,2.64625,1091,15.88989,85,1.23798427
Bradford,201718,NC Year 8,Special,104,37760,4075,3358,717,10.79184,8.89301,1.89883,31,29.80769,3,2.884615385
Bradford,201819,NC Year 8,Total,7143,2551313,159509,91304,68205,6.25204,3.57871,2.67333,1183,16.56167,89,1.24597508
Bradford,201819,NC Year 8,Special,106,38715,3371,2996,375,8.70722,7.7386,0.96862,24,22.64151,2,1.886792453
Bradford,201819,NC Year 8,State-funded secondary,7037,2512598,156138,88308,67830,6.21421,3.51461,2.6996,1159,16.47009,87,1.236322296
Bradford,202021,NC Year 8,Total,7626,2635351,204563,121144,83419,7.76227,4.59688,3.16538,1758,23.05271,172,2.255441909
Bradford,202021,NC Year 8,State-funded secondary,7497,2588890,193034,112144,80890,7.45625,4.33174,3.12451,1664,22.19554,157,2.094171002
Bradford,202021,NC Year 8,Special,129,46461,11529,9000,2529,24.81436,19.37109,5.44328,94,72.86822,15,11.62790698
Bradford,202122,NC Year 8,Special,134,47931,6597,4939,1658,13.76354,10.3044,3.45914,53,39.55224,6,4.47761194
Bradford,202122,NC Year 8,State-funded secondary,7458,2579829,275534,152443,123091,10.68032,5.90904,4.77129,2544,34.11102,255,3.419147224
Bradford,202122,NC Year 2,Total,8019,2888096,205060,136834,68226,7.10018,4.73786,2.36232,1782,22.22222,57,0.710811822
Bradford,201718,NC Year 9,Total,6666,2335229,159375,88885,70490,6.82481,3.80626,3.01855,1271,19.06691,118,1.770177018
Bradford,201718,NC Year 9,Special,97,35040,3420,2685,735,9.76027,7.66267,2.0976,27,27.83505,3,3.092783505
Bradford,201718,NC Year 9,State-funded secondary,6569,2300189,155955,86200,69755,6.7801,3.74752,3.03258,1244,18.93743,115,1.750646978
Bradford,201819,NC Year 9,Total,6902,2459476,179679,98787,80892,7.30558,4.01659,3.28899,1354,19.6175,142,2.057374674
Bradford,201819,NC Year 9,Special,106,39574,4086,3615,471,10.32496,9.13479,1.19018,35,33.01887,3,2.830188679
Bradford,201819,NC Year 9,State-funded secondary,6796,2419902,175593,95172,80421,7.2562,3.93289,3.32332,1319,19.40848,139,2.045320777
Bradford,202021,NC Year 9,Special,122,43333,11320,8655,2665,26.12328,19.97323,6.15005,95,77.86885,17,13.93442623
Bradford,202021,NC Year 9,State-funded secondary,7154,2468935,212981,122642,90339,8.62643,4.9674,3.65903,1815,25.37042,195,2.725747833
Bradford,202021,NC Year 9,Total,7276,2512268,224301,131297,93004,8.92823,5.22623,3.70199,1910,26.25069,212,2.91368884
