Location,Year,Characteristic,School Type,Enrolments,Total Attendance Sessions,Total Sessions - Absence,Authorised Absence Sessions,Unauthorised Absence Sessions,Overall Absence Rate (%),Authorised Absence Rate (%),Unauthorised Absence Rate (%),Enrolments - Persistent Absence (10 or more sessions),Persistent Absence Rate (%),Enrolments - Severe Absence (50 or more sessions),Severe Absence Rate
Bradford,201819,FSM Not eligible,Special,670,241930,24936,22587,2349,10.30711,9.33617,0.97094,222,33.13433,16,2.388059701
Bradford,201819,FSM Not eligible,State-funded primary,38303,14028341,561647,373435,188212,4.00366,2.662,1.34166,3330,8.69384,74,0.193196355
Bradford,201819,FSM Not eligible,State-funded secondary,27968,9785017,572305,338629,233676,5.84879,3.46069,2.3881,4061,14.52017,339,1.212099542
Bradford,201819,FSM Not eligible,Total,66941,24055288,1158888,734651,424237,4.8176,3.05401,1.76359,7613,11.3727,429,0.640862849
Bradford,202021,FSM Not eligible,Special,731,256601,48851,42117,6734,19.03773,16.41342,2.62431,446,61.01231,63,8.618331053
Bradford,202021,FSM Not eligible,State-funded primary,34374,12480854,502746,331102,171644,4.02814,2.65288,1.37526,3181,9.25409,180,0.523651597
Bradford,202021,FSM Not eligible,Total,62850,22101891,1166993,756553,410440,5.28006,3.42302,1.85704,8789,13.98409,709,1.128082737
Bradford,202021,FSM Not eligible,State-funded secondary,27745,9364436,615396,383334,232062,6.57163,4.09351,2.47812,5162,18.60515,466,1.679581907
Bradford,202122,FSM Not eligible,Special,701,248454,38071,31664,6407,15.32316,12.74441,2.57875,317,45.22111,50,7.132667618
Bradford,202122,FSM Not eligible,State-funded primary,33212,12088475,735365,507878,227487,6.08319,4.20134,1.88185,5700,17.16247,131,0.394435746
Bradford,202122,FSM Not eligible,State-funded secondary,26605,9061866,863585,513963,349622,9.52988,5.67171,3.85817,7830,29.43056,745,2.800225522
Bradford,202122,Ethnicity Major Unclassified,Total,1887,496161,59018,29308,29710,11.89493,5.90695,5.98798,729,38.63275,119,6.306306306
Bradford,201718,FSM not eligible in last 6 years,Total,55108,19359914,819467,555559,263908,4.2328,2.86964,1.36317,4934,8.95333,184,0.333889816
Bradford,201718,FSM not eligible in last 6 years,Special,530,186673,18030,16324,1706,9.6586,8.7447,0.9139,162,30.56604,10,1.886792453
Bradford,201718,FSM not eligible in last 6 years,State-funded primary,33207,11789838,455917,310822,145095,3.86703,2.63636,1.23068,2547,7.67007,49,0.14755925
Bradford,201718,FSM not eligible in last 6 years,State-funded secondary,21371,7383403,345520,228413,117107,4.67968,3.0936,1.58608,2225,10.41131,125,0.584904778
Bradford,201819,FSM not eligible in last 6 years,State-funded secondary,22286,7858342,399097,259098,139999,5.07864,3.29711,1.78153,2538,11.38832,169,0.758323611
Bradford,201819,FSM not eligible in last 6 years,Special,546,197651,21127,19516,1611,10.68904,9.87397,0.81507,183,33.51648,15,2.747252747
Bradford,201819,FSM not eligible in last 6 years,State-funded primary,33383,12288502,471420,320278,151142,3.83627,2.60632,1.22995,2601,7.79139,50,0.149776833
Bradford,201819,FSM not eligible in last 6 years,Total,56215,20344495,891644,598892,292752,4.38273,2.94375,1.43897,5322,9.46722,234,0.416259006
Bradford,202021,FSM not eligible in last 6 years,Special,602,212093,38688,34472,4216,18.24105,16.25325,1.98781,360,59.80066,42,6.976744186
Bradford,202021,FSM not eligible in last 6 years,State-funded primary,32082,11705623,452502,303333,149169,3.86568,2.59134,1.27434,2731,8.51256,134,0.417679696
Bradford,202021,FSM not eligible in last 6 years,State-funded secondary,24501,8321990,503966,326338,177628,6.05584,3.92139,2.13444,4071,16.61565,298,1.216276887
Bradford,202021,FSM not eligible in last 6 years,Total,57185,20239706,995156,664143,331013,4.91685,3.28139,1.63546,7162,12.52426,474,0.828888695
Bradford,202122,FSM not eligible in last 6 years,Special,611,219707,32420,28011,4409,14.75602,12.74925,2.00676,273,44.68085,38,6.219312602
Bradford,202122,FSM not eligible in last 6 years,State-funded primary,31732,11618453,696210,484314,211896,5.99228,4.16849,1.82379,5278,16.63305,113,0.356107399
Bradford,202122,FSM not eligible in last 6 years,State-funded secondary,24464,8383548,762768,469746,293022,9.09839,5.60319,3.4952,6859,28.03712,600,2.452583388
Bradford,202122,Ethnicity Minor Unclassified,Total,1887,496161,59018,29308,29710,11.89493,5.90695,5.98798,729,38.63275,119,6.306306306
Bradford,201718,FSM unclassified,Special,4,74,4,0,4,5.40541,0,5.40541,1,25,1,25
Bradford,201718,FSM unclassified,State-funded secondary,282,9803,2372,529,1843,24.19667,5.39631,18.80037,150,53.19149,71,25.17730496
Bradford,201718,FSM unclassified,Total,624,20299,4367,1088,3279,21.51338,5.35987,16.15351,305,48.87821,140,22.43589744
Bradford,201718,FSM unclassified,State-funded primary,338,10422,1991,559,1432,19.10382,5.36365,13.74017,154,45.56213,68,20.1183432
Bradford,201819,FSM unclassified,State-funded secondary,297,9419,2382,654,1728,25.28931,6.94341,18.3459,164,55.21886,66,22.22222222
Bradford,201819,FSM unclassified,Special,5,74,46,46,0,62.16216,62.16216,0,4,80,4,80
Bradford,201819,FSM unclassified,Total,610,19011,4493,1276,3217,23.63369,6.7119,16.92178,316,51.80328,145,23.7704918
Bradford,201819,FSM unclassified,State-funded primary,308,9518,2065,576,1489,21.69573,6.05169,15.64404,148,48.05195,75,24.35064935
Bradford,202021,FSM unclassified,State-funded secondary,221,5208,1894,648,1246,36.36713,12.4424,23.92473,158,71.49321,97,43.89140271
Bradford,202021,FSM unclassified,State-funded primary,298,6940,1965,676,1289,28.31412,9.74063,18.57349,169,56.71141,109,36.57718121
Bradford,202021,FSM unclassified,Total,531,12200,3889,1330,2559,31.87705,10.90164,20.97541,330,62.14689,208,39.17137476
Bradford,202021,FSM unclassified,Special,12,52,30,6,24,57.69231,11.53846,46.15385,3,25,2,16.66666667
